date,POC BESS - Power (BESS Meter),POC DG - Power (DG Meter),POC Loads - Power (Loads Meter),POC PV - Power (PV Meter)
01/01/2025 00:15:00,21.00,0.00,0.00,0.00
01/01/2025 00:30:00,21.24,0.00,0.00,0.00
01/01/2025 00:45:00,21.23,0.00,0.00,0.00
01/01/2025 01:00:00,21.22,0.00,0.00,0.00
01/01/2025 01:15:00,23.40,0.00,0.00,0.00
01/01/2025 01:30:00,25.53,0.00,0.00,0.00
01/01/2025 01:45:00,21.08,0.00,0.00,0.00
01/01/2025 02:00:00,21.13,0.00,0.00,0.00
01/01/2025 02:15:00,21.10,0.00,0.00,0.00
01/01/2025 02:30:00,20.99,0.00,0.00,0.00
01/01/2025 02:45:00,21.04,0.00,0.00,0.00
01/01/2025 03:00:00,21.01,0.00,0.00,0.00
01/01/2025 03:15:00,21.01,0.00,0.00,0.00
01/01/2025 03:30:00,20.95,0.00,0.00,0.00
01/01/2025 03:45:00,20.74,0.00,0.00,0.00
01/01/2025 04:00:00,20.81,0.00,0.00,0.00
01/01/2025 04:15:00,20.80,0.00,0.00,0.00
01/01/2025 04:30:00,21.05,0.00,0.00,0.00
01/01/2025 04:45:00,20.87,0.00,0.00,0.00
01/01/2025 05:00:00,21.00,0.00,0.00,0.00
01/01/2025 05:15:00,21.01,0.00,0.00,0.00
01/01/2025 05:30:00,21.01,0.00,0.00,0.00
01/01/2025 05:45:00,20.91,0.00,0.00,0.00
01/01/2025 06:00:00,21.02,0.00,,0.00
01/01/2025 06:15:00,20.91,0.00,0.00,0.00
01/01/2025 06:30:00,20.80,0.00,0.00,0.00
01/01/2025 06:45:00,20.35,0.00,0.00,0.34
01/01/2025 07:00:00,8.21,0.00,0.00,11.33
01/01/2025 07:15:00,-25.26,0.00,0.00,41.38
01/01/2025 07:30:00,-79.98,0.00,0.00,90.66
01/01/2025 07:45:00,-158.83,0.00,0.00,163.96
01/01/2025 08:00:00,-254.11,0.00,0.00,252.91
01/01/2025 08:15:00,-380.48,0.00,0.00,366.19
01/01/2025 08:30:00,-505.75,0.00,0.00,480.10
01/01/2025 08:45:00,-633.67,0.00,0.00,600.20
01/01/2025 09:00:00,-48.45,0.00,0.00,65.86
01/01/2025 09:15:00,8.77,0.00,0.00,10.39
01/01/2025 09:30:00,4.45,0.00,0.00,10.30
01/01/2025 09:45:00,4.60,0.00,0.00,10.28
01/01/2025 10:00:00,4.75,0.00,0.00,10.26
01/01/2025 10:15:00,4.99,0.00,0.00,10.16
01/01/2025 10:30:00,5.30,0.00,0.00,10.12
01/01/2025 10:45:00,5.34,0.00,0.00,9.99
01/01/2025 11:00:00,5.56,0.00,0.00,9.95
01/01/2025 11:15:00,5.68,0.00,0.00,9.98
01/01/2025 11:30:00,8.65,0.00,0.00,9.92
01/01/2025 11:45:00,14.20,0.00,0.00,12.16
01/01/2025 12:00:00,2.95,0.00,0.00,12.79
01/01/2025 12:15:00,2.99,0.00,0.00,12.74
01/01/2025 12:30:00,2.92,0.00,0.00,12.80
01/01/2025 12:45:00,3.18,0.00,0.00,12.68
01/01/2025 13:00:00,3.31,0.00,0.00,12.68
01/01/2025 13:15:00,3.47,0.00,0.00,12.82
01/01/2025 13:30:00,3.57,0.00,0.00,12.74
01/01/2025 13:45:00,3.64,0.00,0.00,12.74
01/01/2025 14:00:00,3.79,0.00,0.00,12.79
01/01/2025 14:15:00,4.00,0.00,0.00,12.74
01/01/2025 14:30:00,3.97,0.00,0.00,12.74
01/01/2025 14:45:00,3.94,0.00,0.00,12.79
01/01/2025 15:00:00,10.09,0.00,0.00,12.90
01/01/2025 15:15:00,9.87,0.00,0.00,12.96
01/01/2025 15:30:00,8.71,0.00,0.00,13.00
01/01/2025 15:45:00,3.65,0.00,0.00,13.03
01/01/2025 16:00:00,3.63,0.00,0.00,13.07
01/01/2025 16:15:00,4.01,0.00,0.00,12.99
01/01/2025 16:30:00,3.75,0.00,0.00,12.97
