date,pv_actual,pv_potential,excess_energy_kwh
2025-01-01,2523.4500000000003,2337.6,482.51500000000004
2025-01-02,1829.92,5064.0,1113.135
2025-01-03,2270.36,1950.3000000000002,388.45750000000004
2025-01-04,0.0,0.0,0.0
2025-01-05,0.0,0.0,0.0
2025-01-06,19706.03,7291.2,145.9375
2025-01-07,20423.05,3019.2,15.734999999999998
2025-01-08,22274.41,2577.6,0.305
2025-01-09,27312.38,15028.8,0.3375
2025-01-10,22928.91,7147.2,0.2925
2025-01-11,4942.54,1118.4,229.49750000000003
2025-01-12,2211.71,8380.8,1963.73
2025-01-13,26192.57,9600.0,65.135
2025-01-14,29843.35,4449.6,0.35
2025-01-15,29416.94,17136.0,0.76
2025-01-16,32529.76,9844.800000000001,0.1625
2025-01-17,31183.2,7790.4,0.6
2025-01-18,5904.84,10555.2,2418.6749999999997
2025-01-19,1764.87,1771.2,321.8725
2025-01-20,33600.42,8721.6,0.7750000000000001
2025-01-21,33139.9,9662.4,0.0
2025-01-22,36788.78,1596.9,0.13
2025-01-23,32347.53,969.6,18.492500000000003
2025-01-24,36972.62,7876.8,0.1925
2025-01-25,12584.83,3393.6,286.25
2025-01-26,4191.52,13104.0,2874.01
2025-01-27,29978.84,13972.800000000001,598.61
2025-01-28,38539.96,2083.2,0.9449999999999998
2025-01-29,42641.87,6249.6,0.2375
2025-01-30,40389.31,9148.800000000001,37.032500000000006
2025-01-31,34785.13,2044.8000000000002,3.375
2025-02-01,17684.45,19003.2,1568.4925
2025-02-02,1739.24,348.90000000000003,87.22500000000001
2025-02-03,39990.09,13315.2,9.732500000000002
2025-02-04,48179.55,9120.0,210.06
2025-02-05,45005.01,20697.600000000002,23.825000000000003
2025-02-06,45261.23,16540.8,0.53
2025-02-07,32267.04,4670.1,0.0
2025-02-08,0.0,0.0,0.0
2025-02-09,2440.36,969.6,0.0
2025-02-10,46330.71,17318.4,0.2075
2025-02-11,44912.74,3561.6,0.2925
2025-02-12,47254.27,14275.199999999999,0.095
2025-02-13,45869.47,10665.6,0.54
2025-02-14,39807.76,5212.8,0.23
2025-02-15,17149.22,3883.2,83.94499999999998
2025-02-16,13862.25,9115.2,970.2674999999999
2025-02-17,48445.21,10204.8,0.0
2025-02-18,4580.25,128.7,0.75
2025-02-19,0.0,0.0,0.0
2025-02-20,49032.24,7876.8,1.71
2025-02-21,43718.51,8640.0,1.7799999999999998
2025-02-22,9113.38,277.5,10.5625
2025-02-23,11862.75,13305.6,2048.42
2025-02-24,48979.32,9345.6,39.37499999999999
2025-02-25,49583.6,16238.4,0.3725
2025-02-26,0.0,0.0,0.0
2025-02-27,0.0,0.0,0.0
2025-02-28,3994.35,1394.4,127.86
2025-03-01,0.0,0.0,0.0
2025-03-02,0.0,0.0,0.0
2025-03-03,0.0,0.0,0.0
2025-03-04,0.0,0.0,0.0
2025-03-05,0.0,0.0,0.0
2025-03-06,0.0,0.0,0.0
2025-03-07,0.0,0.0,0.0
2025-03-08,0.0,0.0,0.0
2025-03-09,0.0,0.0,0.0
2025-03-10,34467.17,5635.2,91.46
2025-03-11,51566.73,11814.3,29.330000000000002
2025-03-12,0.0,0.0,0.0
2025-03-13,0.0,0.0,0.0
2025-03-14,0.0,0.0,0.0
2025-03-15,0.0,0.0,0.0
2025-03-16,5494.49,5196.0,373.425
2025-03-17,54346.93,12360.0,9.64
2025-03-18,48562.92,12504.0,24.775
2025-03-19,46411.71,13416.0,235.1125
2025-03-20,54545.37,18859.2,7.680000000000001
2025-03-21,50724.06,29472.0,195.53500000000003
