date,bess,dg,load,pv_actual,time,local_time,pv_potential_pu,pv_potential,excess_potential_kw,excess_energy_kwh,utilisation_ratio
2025-01-01 00:15:00,21.0,0.0,0.0,0.0,2025-01-01 00:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 00:30:00,21.24,0.0,0.0,0.0,2025-01-01 00:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 00:45:00,21.23,0.0,0.0,0.0,2025-01-01 00:45:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,21.22,0.0,0.0,0.0,2025-01-01 01:00:00,2024-12-31 23:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:15:00,23.4,0.0,0.0,0.0,2025-01-01 01:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:30:00,25.53,0.0,0.0,0.0,2025-01-01 01:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:45:00,21.08,0.0,0.0,0.0,2025-01-01 01:45:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,21.13,0.0,0.0,0.0,2025-01-01 02:00:00,2025-01-01 00:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:15:00,21.1,0.0,0.0,0.0,2025-01-01 02:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:30:00,20.99,0.0,0.0,0.0,2025-01-01 02:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:45:00,21.04,0.0,0.0,0.0,2025-01-01 02:45:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,21.01,0.0,0.0,0.0,2025-01-01 03:00:00,2025-01-01 01:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:15:00,21.01,0.0,0.0,0.0,2025-01-01 03:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:30:00,20.95,0.0,0.0,0.0,2025-01-01 03:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:45:00,20.74,0.0,0.0,0.0,2025-01-01 03:45:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,20.81,0.0,0.0,0.0,2025-01-01 04:00:00,2025-01-01 02:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:15:00,20.8,0.0,0.0,0.0,2025-01-01 04:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:30:00,21.05,0.0,0.0,0.0,2025-01-01 04:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:45:00,20.87,0.0,0.0,0.0,2025-01-01 04:45:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,21.0,0.0,0.0,0.0,2025-01-01 05:00:00,2025-01-01 03:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:15:00,21.01,0.0,0.0,0.0,2025-01-01 05:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:30:00,21.01,0.0,0.0,0.0,2025-01-01 05:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:45:00,20.91,0.0,0.0,0.0,2025-01-01 05:45:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,21.02,0.0,,0.0,2025-01-01 06:00:00,2025-01-01 04:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:15:00,20.91,0.0,0.0,0.0,2025-01-01 06:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:30:00,20.8,0.0,0.0,0.0,2025-01-01 06:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:45:00,20.35,0.0,0.0,0.34,2025-01-01 06:45:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,8.21,0.0,0.0,11.33,2025-01-01 07:00:00,2025-01-01 05:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:15:00,-25.26,0.0,0.0,41.38,2025-01-01 07:15:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:30:00,-79.98,0.0,0.0,90.66,2025-01-01 07:30:00,,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:45:00,-158.83,0.0,0.0,163.96,2025-01-01 07:45:00,,0.0,0.0,0.0,0.0,0.0
